5/13/2026 12:02:23 | INFO | Msg '/data/class/warlock'
5/13/2026 12:02:23 | INFO | Msg '/data/subclass/warlock_custom'
5/13/2026 12:02:23 | INFO | Msg '/data/race/aasimar_protector'
5/13/2026 12:02:23 | INFO | Msg '/data/background/courtier'
5/13/2026 12:02:23 | INFO | Msg '/data/spell/lvl0/light'
5/13/2026 12:02:23 | INFO | Msg '/data/spell/lvl0/eldrichBlast'
5/13/2026 12:02:23 | INFO | Msg '/data/spell/lvl0/prestidigitation'
5/13/2026 12:02:23 | INFO | Msg '/data/spell/lvl1/charmPerson'
5/13/2026 12:02:23 | INFO | Msg '/data/spell/lvl1/hellishRebuke_mod'
5/13/2026 12:02:23 | INFO | Msg '/favicon.ico'
5/13/2026 12:05:11 | INFO | Msg '/character?id=nadia'
5/13/2026 12:05:12 | INFO | Msg '/style/default.css'
5/13/2026 12:05:12 | INFO | Msg '/scripts/classes/class.js'
5/13/2026 12:05:12 | INFO | Msg '/scripts/classes/subclass.js'
5/13/2026 12:05:12 | INFO | Msg '/scripts/classes/race.js'
5/13/2026 12:05:12 | INFO | Msg '/scripts/classes/background.js'
5/13/2026 12:05:12 | INFO | Msg '/scripts/sheet.js'
5/13/2026 12:05:12 | INFO | Msg '/scripts/classes/spell.js'
5/13/2026 12:05:12 | INFO | Msg '/scripts/common.js'
5/13/2026 12:05:12 | INFO | Msg '/scripts/classes/character.js'
5/13/2026 12:05:12 | INFO | Msg '/character/data/nadia'
5/13/2026 12:05:12 | INFO | Msg '/data/class/warlock'
5/13/2026 12:05:12 | INFO | Msg '/data/spell/lvl0/prestidigitation'
5/13/2026 12:05:12 | INFO | Msg '/data/spell/lvl1/charmPerson'
5/13/2026 12:05:12 | INFO | Msg '/data/subclass/warlock_custom'
5/13/2026 12:05:12 | INFO | Msg '/data/race/aasimar_protector'
5/13/2026 12:05:12 | INFO | Msg '/data/background/courtier'
5/13/2026 12:05:12 | INFO | Msg '/data/spell/lvl0/light'
5/13/2026 12:05:12 | INFO | Msg '/data/spell/lvl0/eldrichBlast'
5/13/2026 12:05:12 | INFO | Msg '/data/spell/lvl1/hellishRebuke_mod'
5/13/2026 12:05:12 | INFO | Msg '/favicon.ico'
5/13/2026 12:05:37 | INFO | Msg '/character?id=nadia'
5/13/2026 12:05:37 | INFO | Msg '/style/default.css'
5/13/2026 12:05:37 | INFO | Msg '/scripts/classes/character.js'
5/13/2026 12:05:37 | INFO | Msg '/scripts/common.js'
5/13/2026 12:05:37 | INFO | Msg '/scripts/sheet.js'
5/13/2026 12:05:37 | INFO | Msg '/scripts/classes/class.js'
5/13/2026 12:05:37 | INFO | Msg '/scripts/classes/background.js'
5/13/2026 12:05:37 | INFO | Msg '/scripts/classes/race.js'
5/13/2026 12:05:37 | INFO | Msg '/scripts/classes/spell.js'
5/13/2026 12:05:37 | INFO | Msg '/scripts/classes/subclass.js'
5/13/2026 12:05:38 | INFO | Msg '/character/data/nadia'
5/13/2026 12:05:38 | INFO | Msg '/data/class/warlock'
5/13/2026 12:05:38 | INFO | Msg '/data/spell/lvl0/prestidigitation'
5/13/2026 12:05:38 | INFO | Msg '/data/subclass/warlock_custom'
5/13/2026 12:05:38 | INFO | Msg '/data/race/aasimar_protector'
5/13/2026 12:05:38 | INFO | Msg '/data/background/courtier'
5/13/2026 12:05:38 | INFO | Msg '/data/spell/lvl0/light'
5/13/2026 12:05:38 | INFO | Msg '/data/spell/lvl0/eldrichBlast'
5/13/2026 12:05:38 | INFO | Msg '/data/spell/lvl1/hellishRebuke_mod'
5/13/2026 12:05:38 | INFO | Msg '/data/spell/lvl1/charmPerson'
5/13/2026 12:05:38 | INFO | Msg '/favicon.ico'
5/13/2026 12:05:53 | INFO | Msg '/character?id=nadia'
5/13/2026 12:05:53 | INFO | Msg '/style/default.css'
5/13/2026 12:05:53 | INFO | Msg '/scripts/classes/class.js'
5/13/2026 12:05:53 | INFO | Msg '/scripts/classes/subclass.js'
5/13/2026 12:05:53 | INFO | Msg '/scripts/classes/race.js'
5/13/2026 12:05:53 | INFO | Msg '/scripts/classes/background.js'
5/13/2026 12:05:53 | INFO | Msg '/scripts/classes/spell.js'
5/13/2026 12:05:53 | INFO | Msg '/scripts/sheet.js'
5/13/2026 12:05:53 | INFO | Msg '/scripts/common.js'
5/13/2026 12:05:53 | INFO | Msg '/scripts/classes/character.js'
5/13/2026 12:05:53 | INFO | Msg '/character/data/nadia'
5/13/2026 12:05:53 | INFO | Msg '/data/class/warlock'
5/13/2026 12:05:53 | INFO | Msg '/data/spell/lvl0/prestidigitation'
5/13/2026 12:05:53 | INFO | Msg '/data/subclass/warlock_custom'
5/13/2026 12:05:53 | INFO | Msg '/data/race/aasimar_protector'
5/13/2026 12:05:53 | INFO | Msg '/data/background/courtier'
5/13/2026 12:05:53 | INFO | Msg '/data/spell/lvl0/light'
5/13/2026 12:05:53 | INFO | Msg '/data/spell/lvl0/eldrichBlast'
5/13/2026 12:05:53 | INFO | Msg '/data/spell/lvl1/charmPerson'
5/13/2026 12:05:53 | INFO | Msg '/data/spell/lvl1/hellishRebuke_mod'
5/13/2026 12:05:53 | INFO | Msg '/favicon.ico'
5/13/2026 12:07:58 | INFO | Msg '/character?id=nadia'
5/13/2026 12:07:58 | INFO | Msg '/style/default.css'
5/13/2026 12:07:58 | INFO | Msg '/scripts/common.js'
5/13/2026 12:07:58 | INFO | Msg '/scripts/classes/subclass.js'
5/13/2026 12:07:58 | INFO | Msg '/scripts/classes/race.js'
5/13/2026 12:07:58 | INFO | Msg '/scripts/classes/background.js'
5/13/2026 12:07:58 | INFO | Msg '/scripts/classes/spell.js'
5/13/2026 12:07:58 | INFO | Msg '/scripts/sheet.js'
5/13/2026 12:07:58 | INFO | Msg '/scripts/classes/character.js'
5/13/2026 12:07:58 | INFO | Msg '/scripts/classes/class.js'
5/13/2026 12:07:58 | INFO | Msg '/character/data/nadia'
5/13/2026 12:07:58 | INFO | Msg '/data/class/warlock'
5/13/2026 12:07:58 | INFO | Msg '/data/subclass/warlock_custom'
5/13/2026 12:07:58 | INFO | Msg '/data/race/aasimar_protector'
5/13/2026 12:07:58 | INFO | Msg '/data/background/courtier'
5/13/2026 12:07:58 | INFO | Msg '/data/spell/lvl0/light'
5/13/2026 12:07:58 | INFO | Msg '/data/spell/lvl0/eldrichBlast'
5/13/2026 12:07:58 | INFO | Msg '/data/spell/lvl1/charmPerson'
5/13/2026 12:07:58 | INFO | Msg '/data/spell/lvl0/prestidigitation'
5/13/2026 12:07:58 | INFO | Msg '/data/spell/lvl1/hellishRebuke_mod'
5/13/2026 12:07:58 | INFO | Msg '/data/spell/lvl1/comprehendLanguages'
5/13/2026 12:07:58 | INFO | Msg '/favicon.ico'
5/13/2026 12:13:57 | INFO | Msg '/character?id=nadia'
5/13/2026 12:13:57 | INFO | Msg '/style/default.css'
5/13/2026 12:13:57 | INFO | Msg '/scripts/classes/class.js'
5/13/2026 12:13:57 | INFO | Msg '/scripts/classes/spell.js'
5/13/2026 12:13:57 | INFO | Msg '/scripts/classes/subclass.js'
5/13/2026 12:13:57 | INFO | Msg '/scripts/classes/character.js'
5/13/2026 12:13:57 | INFO | Msg '/scripts/common.js'
5/13/2026 12:13:57 | INFO | Msg '/scripts/classes/race.js'
5/13/2026 12:13:57 | INFO | Msg '/scripts/classes/background.js'
5/13/2026 12:13:57 | INFO | Msg '/scripts/sheet.js'
5/13/2026 12:13:57 | INFO | Msg '/character/data/nadia'
5/13/2026 12:13:57 | INFO | Msg '/data/class/warlock'
5/13/2026 12:13:57 | INFO | Msg '/data/subclass/warlock_custom'
5/13/2026 12:13:57 | INFO | Msg '/data/race/aasimar_protector'
5/13/2026 12:13:57 | INFO | Msg '/data/background/courtier'
5/13/2026 12:13:57 | INFO | Msg '/data/spell/lvl0/light'
5/13/2026 12:13:57 | INFO | Msg '/data/spell/lvl0/eldrichBlast'
5/13/2026 12:13:57 | INFO | Msg '/data/spell/lvl0/prestidigitation'
5/13/2026 12:13:57 | INFO | Msg '/data/spell/lvl1/charmPerson'
5/13/2026 12:13:57 | INFO | Msg '/data/spell/lvl1/hellishRebuke_mod'
5/13/2026 12:13:57 | INFO | Msg '/data/spell/lvl1/comprehendLanguages'
5/13/2026 12:13:57 | INFO | Msg '/data/spell/lvl1/detectMagic'
5/13/2026 12:13:57 | INFO | Msg '/data/spell/lvl2/mistyStep'
5/13/2026 12:13:57 | INFO | Msg '/data/spell/lvl2/suggestion'
5/13/2026 12:13:57 | INFO | Msg '/favicon.ico'
5/13/2026 12:14:23 | INFO | Msg '/character?id=nadia'
5/13/2026 12:14:23 | INFO | Msg '/style/default.css'
5/13/2026 12:14:23 | INFO | Msg '/scripts/common.js'
5/13/2026 12:14:23 | INFO | Msg '/scripts/classes/character.js'
5/13/2026 12:14:23 | INFO | Msg '/scripts/classes/race.js'
5/13/2026 12:14:23 | INFO | Msg '/scripts/classes/background.js'
5/13/2026 12:14:23 | INFO | Msg '/scripts/classes/spell.js'
5/13/2026 12:14:23 | INFO | Msg '/scripts/sheet.js'
5/13/2026 12:14:23 | INFO | Msg '/scripts/classes/class.js'
5/13/2026 12:14:23 | INFO | Msg '/scripts/classes/subclass.js'
5/13/2026 12:14:24 | INFO | Msg '/character/data/nadia'
5/13/2026 12:14:24 | INFO | Msg '/data/class/warlock'
5/13/2026 12:14:24 | INFO | Msg '/data/spell/lvl0/prestidigitation'
5/13/2026 12:14:24 | INFO | Msg '/data/subclass/warlock_custom'
5/13/2026 12:14:24 | INFO | Msg '/data/race/aasimar_protector'
5/13/2026 12:14:24 | INFO | Msg '/data/background/courtier'
5/13/2026 12:14:24 | INFO | Msg '/data/spell/lvl0/light'
5/13/2026 12:14:24 | INFO | Msg '/data/spell/lvl0/eldrichBlast'
5/13/2026 12:14:24 | INFO | Msg '/data/spell/lvl1/charmPerson'
5/13/2026 12:14:24 | INFO | Msg '/data/spell/lvl1/hellishRebuke_mod'
5/13/2026 12:14:24 | INFO | Msg '/data/spell/lvl1/comprehendLanguages'
5/13/2026 12:14:24 | INFO | Msg '/data/spell/lvl1/detectMagic'
5/13/2026 12:14:24 | INFO | Msg '/data/spell/lvl2/mistyStep'
5/13/2026 12:14:24 | INFO | Msg '/data/spell/lvl2/suggestion'
5/13/2026 12:14:24 | INFO | Msg '/favicon.ico'
5/13/2026 12:18:47 | INFO | Msg '/character?id=nadia'
5/13/2026 12:18:47 | INFO | Msg '/scripts/common.js'
5/13/2026 12:18:47 | INFO | Msg '/scripts/classes/character.js'
5/13/2026 12:18:47 | INFO | Msg '/scripts/classes/subclass.js'
5/13/2026 12:18:47 | INFO | Msg '/style/default.css'
5/13/2026 12:18:47 | INFO | Msg '/scripts/classes/background.js'
5/13/2026 12:18:47 | INFO | Msg '/scripts/classes/spell.js'
5/13/2026 12:18:47 | INFO | Msg '/scripts/classes/class.js'
5/13/2026 12:18:47 | INFO | Msg '/scripts/sheet.js'
5/13/2026 12:18:47 | INFO | Msg '/scripts/classes/race.js'
5/13/2026 12:18:47 | INFO | Msg '/character/data/nadia'
5/13/2026 12:18:47 | INFO | Msg '/data/class/warlock'
